,cycle,capacity,voltage_measured,current_measured,current,voltage,temperature_measured
0,1,2.035337591005598,3.6446531156654953,-2.011556180877355,-1.9992,2.749,30.671775641841133
1,2,2.0251402460314116,3.6517363968933774,-2.0107477524986055,-1.999,2.757,30.792296519125294
2,3,2.013326371345464,3.6631890983079627,-2.0084179034338803,-1.999,2.769,30.61171471863547
3,4,2.0132846655407413,3.6536603128951817,-2.0108116377908583,-1.999,2.76,30.69088247960053
4,5,2.000528337624771,3.662540737303764,-2.00997174200827,-1.999,2.769,30.43861879344402
5,6,2.0138990759931645,3.657289773862884,-2.0143442695643983,-1.9992,2.762,30.61192785622745
6,7,2.013101105626967,3.661560714953674,-2.010329632266291,-1.9992,2.767,30.61278194134409
7,8,1.9687898262728398,3.6679008467458387,-2.010547554981696,-1.9992,2.774,30.402715964003477
8,9,1.9681661764334244,3.64626536033422,-2.0106697842564865,-1.999,2.753,30.676120637048268
9,10,1.9572307917560536,3.649063788488299,-2.0094438114222744,-1.999,2.755,30.555075783526423
10,11,1.9455991514129352,3.6651460205742934,-2.0117806924842414,-1.999,2.771,30.171267410169886
11,12,1.9347505044841131,3.6713300783823173,-2.0104733930782652,-1.999,2.776,30.324925029531055
12,13,1.9232799539368028,3.6518197320012877,-2.012477942263733,-1.999,2.758,30.60872010233955
13,14,1.911889930948487,3.6474975825533784,-2.0114683790570598,-1.999,2.754,30.52268130451077
14,15,1.9010667141979305,3.651659365249652,-2.0107506648433096,-1.999,2.759,30.294600750391503
15,16,1.8891989948061458,3.66307904572049,-2.010918267321093,-1.999,2.769,29.95149862313399
16,17,1.878278372248849,3.666523404470755,-2.0106963452979123,-1.999,2.772,29.943979229950266
17,18,1.8675697161520206,3.6450437759049574,-2.0099817810655307,-1.999,2.751,30.286056482377436
18,19,1.8675892574453767,3.626280686993738,-2.0143873789473026,-1.999,2.733,30.61925714287943
19,20,1.979626548250818,3.649721350451585,-2.0113510436788444,-1.999,2.753,30.215661057800236
20,21,1.9575499080884022,3.673136550222487,-2.012137282422975,-1.999,2.777,30.200442512125075
21,22,1.9458150170787551,3.652576681211109,-2.013899759897343,-1.9988,2.757,30.12398096164508
22,23,1.9242461121680094,3.666513790536474,-2.011868489113878,-1.999,2.77,29.549752379804545
23,24,1.9459811331421641,3.6394172463475516,-2.0110598913028643,-1.999,2.743,29.908252380663484
24,25,1.901407930553079,3.6461444762633497,-2.0105575699059806,-1.999,2.75,29.61678162613052
25,26,1.878674213680085,3.6634964721375796,-2.011273951317066,-1.999,2.768,29.192318798868822
26,27,1.8683061328264219,3.658460538669256,-2.009825535267381,-1.999,2.763,29.1764650525175
27,28,1.8560244070082998,3.6557729990248617,-2.0098629788327087,-1.999,2.759,29.144893195777538
28,29,1.8451997961855777,3.659085085409141,-2.0126144807219046,-1.999,2.762,29.077586110846184
29,30,1.857228890885317,3.6430426170523518,-2.0095112789600558,-1.999,2.746,29.42594243126757
30,31,1.9247760889090635,3.64548281010717,-2.0105339690686055,1.999,2.744,29.402282432096126
31,32,1.8822317526092551,3.6431874838398164,-2.0108648766330335,1.999,2.74,29.721231523424514
32,33,1.855276687885587,3.6371718994775644,-2.0143610655948074,1.999,2.735,29.399421923869056
33,34,1.8392508917181876,3.6320305122395102,-2.0125490985578,1.999,2.731,29.19156111357677
34,35,1.8185396073994429,3.6219132354066943,-2.010476713897528,1.999,2.719,29.18717920152095
35,36,1.8134770059567056,3.630385288789717,-2.008412655876363,1.999,2.727,29.518535161321008
36,37,1.7971018450305436,3.625240628314949,-2.013332605361569,1.999,2.723,29.30563216035857
37,38,1.7810046294120476,3.6095583727403473,-2.009776909688049,1.9988,2.709,29.321336464024757
38,39,1.7710130422682329,3.6179431429030067,-2.010251570569075,1.999,2.715,28.94586356230577
39,40,1.7604712448170943,3.617770565895938,-2.0091833435521917,1.999,2.712,29.156205458842532
40,41,1.7502913788006587,3.6068621521619244,-2.0099457323559378,1.999,2.701,29.94621674307971
41,42,1.7394925037732578,3.601440362502488,-2.0109022607813043,1.999,2.697,30.198512605728812
42,43,1.7546766553637203,3.608177792765524,-2.0099065377078467,-1.999,2.706,29.66571465928114
43,44,1.7659390941842175,3.6178144197879805,-2.008870063985148,1.999,2.717,29.499213345286933
44,45,1.7337887419624838,3.6044739820053087,-2.009513948107613,1.999,2.703,29.14480761117801
45,46,1.713325912040734,3.59410002272876,-2.008199423259776,1.999,2.691,29.32671013781494
46,47,1.7024077813673466,3.5964248461407013,-2.0106368128826264,1.999,2.693,29.269844371293832
47,48,1.82371946178183,3.6197603714880566,-2.0116003794190154,1.9992,2.714,31.912722541777285
48,49,1.8081284050314708,3.62172211763515,-2.0094998661121872,1.999,2.716,31.1129171179379
49,50,1.7757610945034283,3.610861045740581,-2.0096087683504567,1.999,2.707,30.444889095684395
50,51,1.7447409841836798,3.5982121242169467,-2.0094560837795146,1.999,2.694,30.188018438631577
51,52,1.729207034132373,3.6035304433020476,-2.0100515424723175,1.999,2.701,29.755912957255184
52,53,1.7081086552553244,3.597323082728134,-2.0095461390072535,1.999,2.69,29.847302576482566
53,54,1.6975954237461768,3.5886235483503137,-2.0116636822688427,1.999,2.681,30.326144740478195
54,55,1.6820634524029463,3.590941533332255,-2.0091243449111698,1.999,2.685,30.023021060247494
55,56,1.6714768322295086,3.5783423940791277,-2.0097849160413817,1.999,2.675,30.06109727119925
56,57,1.6607591387047655,3.5753327815018197,-2.0100864480057132,1.999,2.669,30.016771989967037
57,58,1.651121015038069,3.5798228721703804,-2.0081490170605796,1.999,2.671,30.03833936940018
58,59,1.6401349256190927,3.5803785698909434,-2.010406459774773,1.9992,2.673,30.412528728554506
59,60,1.6291999416165441,3.562518497226912,-2.010440349840681,1.999,2.658,30.53526557947239
60,61,1.6088496302961666,3.5662782299010813,-2.0122402034831057,1.999,2.661,30.30888049669119
61,62,1.6035244898969248,3.552589923554266,-2.008742302136922,1.999,2.647,30.296621842519617
62,63,1.5989712144027983,3.5530541463087664,-2.0102197889765945,1.999,2.646,30.52954218585196
63,64,1.5876273123575604,3.5594004249609843,-2.0091949391069286,1.999,2.654,30.168733909598235
64,65,1.5829719744686166,3.5463813849411987,-2.0089663985836035,1.9988,2.645,30.58206681282067
65,66,1.567137636713563,3.541448202032749,-2.0099733624414178,1.999,2.638,30.417985736119157
66,67,1.5613446139713882,3.5488718323098865,-2.0083259589253157,1.999,2.643,30.117854542019405
67,68,1.5511711892790419,3.535775876828467,-2.011368615240146,1.999,2.629,30.335225786268627
68,69,1.5406741606295171,3.54134730484201,-2.0147397767901567,1.999,2.636,30.26931974592265
69,70,1.5253138744624433,3.5234558946306276,-2.0096028271216677,1.999,2.618,30.55422209790623
70,71,1.5301570318067428,3.5254804324132407,-2.0116452315494877,1.999,2.62,30.513383802110226
71,72,1.5246566834474087,3.519838959666963,-2.010277192822131,1.9988,2.615,30.581115503112844
72,73,1.5145492986655427,3.5387030170361666,-2.0100526862941805,1.999,2.634,30.185189813762943
73,74,1.509391504602082,3.5167476232923662,-2.0106063276704775,1.999,2.612,30.55942965296761
74,75,1.5039974333050705,3.51503917096207,-2.01034665629555,1.9988,2.61,30.508584417545716
75,76,1.4935201918040188,3.510711391183765,-2.0100044485576043,1.9988,2.605,30.494854259822755
76,77,1.4876323024497422,3.504754208188842,-2.007446762785449,1.999,2.599,30.604854311554654
77,78,1.5302876214401704,3.5281044616803903,-2.0119190210849687,1.999,2.628,31.041928968151463
78,79,1.5040760088360112,3.5102945278208573,-2.0087840287682726,1.9988,2.61,30.592074257950653
79,80,1.4887593608730894,3.5067452282109097,-2.0086208743285803,1.999,2.605,30.353280000022526
80,81,1.4782779285546637,3.5016486718795727,-2.011374961607587,1.999,2.598,30.49096939661693
81,82,1.478459982215684,3.5017816424522468,-2.0125640950066823,1.999,2.595,30.993788430212806
82,83,1.473214844899973,3.50137795845769,-2.008755140300289,1.999,2.597,31.284593745478976
83,84,1.4675164935067897,3.4942620741777395,-2.009046506947068,1.999,2.59,31.260007705386567
84,85,1.4516292657521335,3.4904887550040695,-2.011983842306415,1.9988,2.587,31.0393606898847
85,86,1.4519237720967177,3.4855169467022593,-2.011343109581955,1.999,2.581,30.817153126004566
86,87,1.4471484694777745,3.4871456296310175,-2.0109807507130655,1.999,2.58,31.052602927479704
87,88,1.4468538105659885,3.4878962163894585,-2.009639724480325,1.999,2.582,31.374901586414282
88,89,1.4416741930284678,3.465071573256347,-2.0121836887887,1.999,2.559,31.894713031414145
89,90,1.5935866593100128,3.540711592094836,-2.0069762235328317,1.999,2.637,30.787989776242505
90,91,1.5463902376915637,3.529323677687405,-2.01267562233098,1.999,2.63,31.25253432508826
91,92,1.51470559175661,3.5138639547008537,-2.009469166938281,1.9988,2.61,31.376062093593372
92,93,1.4989786083335404,3.508236325674759,-2.0094714611745528,1.999,2.604,31.166607754295928
93,94,1.4831110745410492,3.5030936276253115,-2.009069785678244,1.999,2.596,31.01277950106777
94,95,1.4729664825468278,3.4992674823703123,-2.010554664641664,1.999,2.593,30.920009072072936
95,96,1.4627604396099307,3.495240648633472,-2.011527472897384,1.999,2.591,31.02392901659132
96,97,1.4518364681062514,3.491798463427668,-2.0086700378967217,1.999,2.586,31.10100799624012
97,98,1.4468670644030392,3.4849657870390556,-2.0112996177905718,1.999,2.58,31.218656732985036
98,99,1.441380399427779,3.486719743082805,-2.010610127336196,1.999,2.58,31.16042741074364
99,100,1.431210744960774,3.4838606543241557,-2.009615101179686,1.9988,2.579,31.219363099127108
100,101,1.4260247179525716,3.4785706770313882,-2.0111571150826504,1.999,2.572,31.300137205212486
101,102,1.420487649966195,3.4771659396869508,-2.0106362011071264,1.999,2.572,31.27479363695795
102,103,1.4207006230355006,3.4736088679878896,-2.011727218653174,1.999,2.566,31.544407203442788
103,104,1.452255804330839,3.495532850835083,-2.008837020689699,1.999,2.597,31.92742591593575
104,105,1.431557632772571,3.4843882830349826,-2.012774335700922,1.999,2.578,31.852487363545993
105,106,1.415015751158943,3.4769504619249556,-2.01007774156315,1.999,2.57,31.750500709096833
106,107,1.4097311506517451,3.4731266965445617,-2.0181080328445535,1.999,2.566,31.56006729551221
107,108,1.404917318129309,3.46852227023854,-2.009406516626627,1.999,2.558,31.636585633640113
108,109,1.395164296571563,3.469043779627696,-2.0124162688082547,1.9992,2.558,31.90000281008552
109,110,1.3945343832614077,3.4684030083024275,-2.009336324999633,1.999,2.56,32.053488461261786
110,111,1.3893171179312644,3.4654743830622317,-2.010294161887578,1.999,2.558,31.808359367256053
111,112,1.3838379472327809,3.4591137251752078,-2.010264453507265,1.999,2.55,31.729688081696253
112,113,1.3736814238195123,3.4573476861929535,-2.0136902205751386,1.9992,2.548,31.99627083490492
113,114,1.3786059891863676,3.4613903416951004,-2.011725500678743,1.999,2.552,32.2075341825901
114,115,1.3737600299108574,3.4581184669840233,-2.0113415490401243,1.999,2.55,32.102313535446065
115,116,1.3682580583942712,3.4541042261689943,-2.0096875265220207,1.999,2.545,31.932003690993024
116,117,1.3633024037317505,3.4522878977630547,-2.0128820979078417,1.999,2.543,31.7339090353957
117,118,1.3580966140172601,3.447628335230868,-2.0099776652023706,1.9992,2.534,32.096951137199454
118,119,1.353269090999531,3.4510557293482034,-2.0140827858540837,1.9992,2.542,32.402021269958574
119,120,1.3841605738237488,3.459432980442379,-2.0136083834521594,1.9992,2.553,32.2089785481925
120,121,1.4051467790651473,3.4756790682966927,-2.0112733675043915,1.999,2.574,32.27390629671749
121,122,1.378719022627353,3.4618940837600025,-2.011222940748868,1.999,2.554,32.05996839054421
122,123,1.3682657783199066,3.45379102988763,-2.012397425011806,1.999,2.544,31.813056505648625
123,124,1.3573151296618016,3.451782894190886,-2.009627768683815,1.999,2.542,31.707698036475914
124,125,1.3524934638801596,3.447802175780535,-2.0085840794025547,1.999,2.538,31.730333639887974
125,126,1.3474099151661236,3.4447366769875853,-2.0099551508586875,1.999,2.534,31.7350003479392
126,127,1.3370075130842318,3.4441088610542607,-2.0090406813139396,1.999,2.536,31.681646822793248
127,128,1.3312352966718526,3.435655336740549,-2.0092682377132935,1.999,2.526,31.70912614264432
128,129,1.3259303781727643,3.436924734698102,-2.0132488031445934,1.999,2.528,31.558138205193305
129,130,1.321578743867529,3.4380038392995265,-2.011353913640601,1.999,2.527,31.54733013769063
130,131,1.321225074066109,3.4339815253597483,-2.0097495469667472,1.999,2.524,31.67289708703686
131,132,1.3156485301862682,3.43156122551679,-2.009838957760724,1.999,2.523,31.626603627483604
132,133,1.3209025697502388,3.4307144174665285,-2.0104019707130436,1.9992,2.52,32.13028666931092
133,134,1.3474328767273906,3.452470217388075,-2.0084499412253534,1.9988,2.551,31.853172727003496
134,135,1.3260128072353616,3.4420879382494585,-2.009500503388466,1.999,2.538,31.705681653036176
135,136,1.3101186784831063,3.4358735061397945,-2.0084281201764,1.999,2.526,31.542649542673185
136,137,1.30521620229393,3.430529758429223,-2.008253381088994,1.999,2.519,31.28681094548889
137,138,1.3004061951355774,3.428248815925922,-2.010294668953178,1.999,2.518,31.697279754701015
138,139,1.300235735841116,3.4308757513591286,-2.010725351484074,1.999,2.522,31.885814348233716
139,140,1.2895066722480755,3.4259560878815845,-2.0107701380015155,1.999,2.518,31.702130774703736
140,141,1.279253057384795,3.4200613743749235,-2.01048174272928,1.9988,2.514,31.42818660850523
141,142,1.2792078171714618,3.417080853806717,-2.009939558930166,1.999,2.509,31.30545587535557
142,143,1.274036760902923,3.4369134574472815,-2.009809033552334,1.999,2.528,31.21192264498445
143,144,1.2741273923001468,3.417110650916356,-2.013182504196906,1.999,2.51,31.686124670410962
144,145,1.2637639426440779,3.432653171563309,-2.0136864220683903,1.999,2.526,30.993405295568547
145,146,1.2581373688955233,3.428535776761421,-2.009534612479564,1.9988,2.522,30.791368868552002
146,147,1.253259864055301,3.406816750849104,-2.009293872372238,1.999,2.498,31.147306059407036
147,148,1.2532313315493426,3.4097843828869805,-2.009202788548709,1.999,2.501,31.478782639633724
148,149,1.2480874960313577,3.404401774640337,-2.010969011735351,1.9988,2.496,31.545185094294187
149,150,1.2534354284944844,3.40335774409052,-2.010969209755898,1.999,2.496,31.35919718955602
150,151,1.2898048773266901,3.4278852337034715,-2.01140839900235,1.999,2.524,31.894686560757442
151,152,1.2635402021758835,3.4158109212380006,-2.0132063617160543,1.9988,2.506,31.96115433991205
152,153,1.2479761706842853,3.408388880118964,-2.0086995193739643,1.9988,2.497,31.87385175909128
153,154,1.2321202877943334,3.404699780399695,-2.0112823866958958,1.9988,2.494,31.786315479702598
154,155,1.2271137666213534,3.400710004351492,-2.010876068913881,1.9988,2.489,31.771945983801597
155,156,1.2217397581377356,3.3999745652982605,-2.0109816794075326,1.999,2.488,31.71735192960506
156,157,1.211102678915174,3.3968358374052534,-2.011563411451984,1.999,2.484,31.749676400578846
157,158,1.2056159765131735,3.3937791932415635,-2.0100419657270256,1.9988,2.483,31.748006215194316
158,159,1.2008936262717274,3.388409951403469,-2.0085680658731073,1.999,2.477,31.833671829500027
159,160,1.1905903985558335,3.390728005769761,-2.0112029962299087,1.999,2.481,31.79237896443136
160,161,1.185179251041941,3.389181260749473,-2.011379260355558,1.9988,2.48,31.858034082948617
161,162,1.1796706818144624,3.386847345468913,-2.012557825111816,1.9988,2.478,31.932119262600317
162,163,1.1745952836753915,3.3833297363491943,-2.00994224145054,1.9988,2.474,31.877160959907574
163,164,1.15381833159625,3.3755614084690557,-2.009148240697499,1.9988,2.468,31.938790429066458
164,165,1.1644009557372264,3.3784832745119453,-2.010595354862858,1.999,2.47,32.00280203996554
165,166,1.1587974947916069,3.3683824789437673,-2.010703285319206,1.9988,2.46,32.26565369679002
166,167,1.1749748834769171,3.392139323147266,-2.011802220320113,1.999,2.486,32.18935798536704
167,168,1.1856752327929356,3.691808982914086,-0.003127128843035842,0.0006,0.0,32.1923241277653
